ORCID,Year,Title,Authors,PubMed Link,Abstract
0000-0003-0275-8037,2019,Long-term treatment with human immunoglobulin for antisynthetase syndrome-associated interstitial lung disease.,"Huapaya J A, Hallowell R, Silhan L, Pinal-Fernandez I, Casal-Dominguez M, Johnson C, Albayda J, Paik J J, Lin C T, Hussien A, Mammen A L, Christopher-Stine L, Danoff S K",https://pubmed.ncbi.nlm.nih.gov/31176796/,"Interstitial lung disease-associated antisynthetase syndrome (AS-ILD) carries significant morbidity and mortality. Corticosteroids and immunosuppressive drugs are the mainstay of treatment. Human immunoglobulin (IVIg), an immunomodulator without immunosuppressive properties, is effective in myositis but the evidence supporting its use in ILD is scarce. To describe clinical outcomes of AS-ILD patients receiving IVIg. Retrospective analysis of AS-ILD patients. Linear mixed models using restricted maximum likelihood estimation was used to estimate the change in lung function and corticosteroid dose over time. Data from 17 patients was analyzed. Median follow-up was 24.6 months. Fourteen patients had refractory disease. The mean percent-predicted forced vital capacity (FVC%) (p = 0.048) and percent-predicted diffusing capacity of the lung for carbon monoxide (DLCO%) (p = 0.0223) increased over time, while the mean prednisone dose (p 10% increase in FVC%, including two who used IVIg as initial treatment. Five patients showed a >10% increase in DLCO% and TLC%. Nine (53%) patients experienced side effects. IVIg may be a useful complementary therapy in active progressive AS-ILD but is associated with potential side effects. Fssssurther investigation is required to determine the value of IVIg as an initial treatment in AS-ILD."
0000-0003-0275-8037,2019,Relationship Between Prior Radiotherapy and Checkpoint-Inhibitor Pneumonitis in Patients With Advanced Non-Small-Cell Lung Cancer.,"Voong Khinh Ranh, Hazell Sarah Z, Fu Wei, Hu Chen, Lin Cheng Ting, Ding Kai, Suresh Karthik, Hayman Jonathan, Hales Russell K, Alfaifi Salem, Marrone Kristen A, Levy Benjamin, Hann Christine L, Ettinger David S, Feliciano Josephine L, Peterson Valerie, Kelly Ronan J, Brahmer Julie R, Forde Patrick M, Naidoo Jarushka",https://pubmed.ncbi.nlm.nih.gov/31031204/,"To investigate the relationship between radiotherapy (RT), in particular chest RT, and development of immune-related (IR) pneumonitis in non-small-cell lung cancer (NSCLC) patients treated with anti-programmed cell death 1 (PD-1)/programmed death ligand 1 (PD-L1). Between June 2011 and July 2017, NSCLC patients treated with anti-PD-1/PD-L1 at a tertiary-care academic cancer center were identified. Patient, treatment, prior RT (intent, technique, timing, courses), and IR pneumonitis details were collected. Treating investigators diagnosed IR pneumonitis clinically. Diagnostic IR pneumonitis scans were overlaid with available chest RT plans to describe IR pneumonitis in relation to prior chest RT. We evaluated associations between patient, treatment, RT details, and development of IR pneumonitis by Fisher exact and Wilcoxon rank-sum tests. Of the 188 NSCLC patients we identified, median follow-up was 6.78 (range, 0.30-79.3) months and median age 66 (range, 39-91) years; 54% (n = 102) were male; and 42% (n = 79) had stage I-III NSCLC at initial diagnosis. Patients received anti-PD-1/PD-L1 monotherapy (n = 127, 68%) or PD-1/PD-L1-based combinations (n = 61, 32%). In the entire cohort, 70% (132/188) received any RT, 53% (100/188) chest RT, and 37% (70/188) curative-intent chest RT. Any grade IR pneumonitis occurred in 19% (36/188; 95% confidence interval, 13.8-25.6). Of those who developed IR pneumonitis and received chest RT (n = 19), patients were more likely to have received curative-intent versus palliative-intent chest RT (17/19, 89%, vs. 2/19, 11%; P = .051). Predominant IR pneumonitis appearances were ground-glass opacities outside high-dose chest RT regions. No RT parameter was significantly associated with IR pneumonitis. On subset analysis of patients who developed IR pneumonitis and who had received prior chest RT, IR pneumonitis was more common in patients who received curative-intent chest RT. Attention should be paid to NSCLC patients receiving curative-intent RT followed by anti-PD-1/PD-L1 agents."
0000-0003-0275-8037,2019,Comparing Frailty Markers in Predicting Poor Outcomes after Transcatheter Aortic Valve Replacement.,"Krishnan Aravind, Suarez-Pierre Alejandro, Zhou Xun, Lin Cheng T, Fraser Charles D, Crawford Todd C, Hsu Joshua, Hasan Rani K, Resar Jon, Chacko Matthews, Baumgartner William A, Conte John V, Mandal Kaushik",https://pubmed.ncbi.nlm.nih.gov/30848712/,"Frailty is an important component of risk prognostication in transcatheter aortic valve replacement (TAVR). Objective markers of frailty, including sarcopenia, the modified Frailty Index (mFI), and albumin levels, have emerged, but little is known how such markers compare to each other in predicting outcomes after TAVR. We sought to define and compare these markers in predicting long-term outcomes after TAVR. Patients who underwent TAVR at our institution from 2011 to 2016 were included. Indexed cross-sectional areas of the lumbosacral muscles on preoperative computed tomography scans were used to assess sarcopenia. Optimal cutoffs for sarcopenia were defined using a statistically validated method. mFI was calculated using an 11-point scale of clinical characteristics. The primary outcome was 2-year all-cause mortality. Adjusted survival analysis was used to analyze outcomes. A total of 381 patients were included in this study. Sarcopenia of the psoas muscles was associated with an increased risk of mortality on univariate (HR: 2.3, P = 0.01) and multivariate (HR: 2.5, P = 0.01) analysis. Sarcopenia of the paravertebral muscles was associated with increased risk of mortality only on univariate analysis (HR: 2.1, P = 0.03). Increased preoperative albumin levels were associated with decreased risk of mortality on univariate (HR: 0.3, P < 0.01) and multivariate analysis (HR: 0.3, P < 0.01). The (mFI) was not associated with mortality on univariate or multivariate analysis. Novel cutoffs for sarcopenia of the psoas muscles were determined and associated with decreased survival after TAVR. Sarcopenia and albumin levels may be better tools for risk prediction than mFI in TAVR."
0000-0003-0275-8037,2019,Prospective Multicentered Safety and Feasibility Pilot for Endobronchial Intratumoral Chemotherapy.,"Yarmus Lonny, Mallow Christopher, Akulian Jason, Lin Cheng Ting, Ettinger David, Hales Russell, Voong Kinh Ranh, Lee Hans, Feller-Kopman David, Semaan Roy, Seward Kirk, Wahidi Momen M",https://pubmed.ncbi.nlm.nih.gov/30776363/,"Malignant airway obstruction (MAO) occurs in 30% of patients with advanced-stage lung cancer, leading to debilitating dyspnea, cough, and hemoptysis. Other than recanalization of the airways, these patients lack long-lasting palliative therapy. The goal of this study was to determine the safety and feasibility of local injection of paclitaxel into the airway wall with a novel microinjection catheter. In this multicentered prospective trial, 23 patients with non-small cell lung cancer and MAO were enrolled from July 2014 through June 2016 to undergo rigid bronchoscopy with recanalization, followed by injection of 1.5 mg of paclitaxel with a novel injection catheter. Primary end points consisted of safety (adverse events, severe adverse events, and unanticipated adverse device effects) as well as feasibility (number of injections, injection success). Secondary end points consisted of airway patency improvement, quality of life metrics, and need for further interventions and/or stenting. Nineteen patients underwent rigid bronchoscopy with successful recanalization and paclitaxel injection. There were no adverse events, severe adverse events, or unanticipated adverse device effects. There was an average of 3.4 injections given for a total dose of 1.5 mg of paclitaxel in all patients. There was significantly less stenosis postprocedure vs preprocedure (25%-50% vs 75%-90%; P < .001), which was unchanged at 6 weeks (25%-50%). None of the participants required further interventions or airway stenting. The injection of paclitaxel after recanalization of MAO in patients with non-small cell lung cancer is safe and feasible, using a novel airway injection device. ClinicalTrials.gov; No.: NCT02066103; URL: www.clinicaltrials.gov."
0000-0003-0275-8037,2018,Immune Checkpoint Immunotherapy for Non-Small Cell Lung Cancer,"Suresh Karthik, Naidoo Jarushka, Lin Cheng Ting, Danoff Sonye",https://pubmed.ncbi.nlm.nih.gov/30189190/,"Immune checkpoint inhibitors (ICIs) are newer, immunotherapy-based drugs that have been shown to improve survival in advanced non-small cell lung cancer (NSCLC). Unlike traditional chemotherapeutic agents, ICIs work by boosting the body's natural tumor killing response. However, this unique mechanism of action has also led to the recognition of class-specific side effects. Labeled immune-related adverse events, these toxicities can affect multiple organ systems including the lungs. Immune-mediated lung injury because of ICI use, termed checkpoint inhibitor pneumonitis (CIP), occurs in about 3% to 5% of patients receiving ICIs; however, the real-world incidence of this entity may be higher, especially now that ICIs are being used in nonclinical trial settings. In this review, we briefly introduce the biology of ICIs and the indications for ICI use in NSCLC and then discuss the epidemiology and clinical and radiologic manifestations of CIP. Next, we discuss management strategies for CIP, including the current consensus on management of steroid-refractory CIP. Given the nascent nature of this field, we highlight areas of uncertainty and emerging research questions in the burgeoning field of checkpoint inhibitor pulmonary toxicity."
0000-0003-0275-8037,2018,Sarcopenia of the Psoas Muscles Is Associated With Poor Outcomes Following Lung Transplantation.,"Hsu Joshua, Krishnan Aravind, Lin Cheng T, Shah Pali D, Broderick Stephen R, Higgins Robert S D, Merlo Christian A, Bush Errol L",https://pubmed.ncbi.nlm.nih.gov/30447192/,"Sarcopenia, a known component of frailty, defined by diminished cross-sectional area of the psoas muscles, is associated with poor outcomes after a range of surgical procedures. However, little is known of the relationship between sarcopenia of the psoas muscles (SPM) and long-term survival, decline in pulmonary function, and graft failure after lung transplantation. We reviewed patients who underwent primary lung transplantation at our institution from 2011 to 2014. Cross-sectional areas of the psoas muscles at the L4 vertebral level were measured using preoperative computed tomography. Gender-based cutoff values for sarcopenia were generated and validated. The primary outcomes were 1-, 2-, and 3-year all-cause mortality, forced expiratory volume in 1 second values, and graft function. Adjusted logistic regression and survival analysis was used to analyze outcomes. Ninety-five patients were included in this study; 39 (41.1%) patients were considered sarcopenic. SPM was significantly associated with short-term and midterm mortality on multivariate analysis (1 year: odds ratio [OR], 8.7, p = 0.017; 2 years: OR, 12.7, p < 0.01; 3 years: OR, 13.4, p < 0.01). Survival analysis showed significantly decreased survival in sarcopenic patients at 3 years (35.9% versus 76.8%; p < 0.01). SPM is also associated with decreased forced expiratory volume in 1 second (coefficient, -17.3; p = 0.03). Adjusted Cox analysis showed an increased hazard for all-cause mortality (hazard ratio, 5.8, p < 0.01) and graft failure (hazard ratio, 14.7, p < 0.01) in sarcopenic patients. This study demonstrates a significant association between SPM and death, pulmonary function, and graft failure in patients receiving a lung transplant. Determining SPM preoperatively may be a useful component of frailty assessment and a predictor of survival in this patient population."
0000-0003-0275-8037,2018,Clinical Benefit to an Aurora A Kinase Inhibitor in a Patient with Metastatic Integrase Interactor 1-Deficient Carcinoma.,"Karantanos Theodoros, Rooper Lisa, Kang Youme, Lin Cheng Ting, Wenga Pawla, Sagorsky Sarah, Lauring Josh, Kang Hyunseok",https://pubmed.ncbi.nlm.nih.gov/30297384/,Integrase interactor 1 (INI-1)-deficient carcinoma is a rare cancer characterized by the loss of the SWItch/Sucrose Non-Fermentable-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 gene (
0000-0003-0275-8037,2018,Pneumonitis in Non-Small Cell Lung Cancer Patients Receiving Immune Checkpoint Immunotherapy: Incidence and Risk Factors.,"Suresh Karthik, Voong Khinh Ranh, Shankar Bairavi, Forde Patrick M, Ettinger David S, Marrone Kristen A, Kelly Ronan J, Hann Christine L, Levy Benjamin, Feliciano Josephine L, Brahmer Julie R, Feller-Kopman David, Lerner Andrew D, Lee Hans, Yarmus Lonny, D'Alessio Franco, Hales Russell K, Lin Cheng Ting, Psoter Kevin J, Danoff Sonye K, Naidoo Jarushka",https://pubmed.ncbi.nlm.nih.gov/30267842/,"Checkpoint inhibitor pneumonitis (CIP) is an immune-related adverse event that can occur after initiation of anti-programmed death 1/programmed death ligand 1 immune checkpoint inhibitor (ICI) therapy for the treatment of multiple malignancies, including NSCLC. However, the incidence of CIP has not been previously examined in a population that included both trial-enrolled and non-trial-enrolled patients with advanced NSCLC. Furthermore, risk factors and other clinical characteristics associated with CIP severity are not known. In this study, we retrospectively examined clinical characteristics, incidence, and risk factors for CIP in a cohort of 205 patients with NSCLC, all of whom received anti-programmed death 1/programmed death ligand 1 ICIs. Our results demonstrate a higher incidence of CIP (19%) than previously reported in clinical trials (3%-5%). Our data also suggest that tumor histologic type may be a risk factor for CIP development. We observed a wide range of time to onset of CIP (median 82 days), with high morbidity and mortality associated with higher-grade CIP regardless of degree of immunosuppression. Our data provide new insight into the epidemiology and clinical characteristics of CIP. Further studies are needed to increase CIP pharmacovigilance, improve risk stratification, and refine diagnostic algorithms for the diagnosis and management of this potential life-threatening complication of ICI therapy."
0000-0003-0275-8037,2018,CT findings of fungal pneumonia with emphasis on aspergillosis.,"Hussien Amira, Lin Cheng Ting",https://pubmed.ncbi.nlm.nih.gov/29956050/,"Fungal pneumonias are increasingly common in the population of immunosuppressed patients. The diagnosis of fungal pneumonias represents a challenge for clinicians, and the morbidity and mortality of these infections are high in immunocompromised patients. CT findings may be nonspecific; however, in the appropriate clinical setting, they may suggest and even help establish the specific diagnosis. This article provides an overview about the CT findings and possible differential diagnosis of the most common pulmonary fungal infections."
0000-0003-0275-8037,2018,Prospective Image Quality Analysis and Control for Prior-Image-Based Reconstruction of Low-Dose CT.,"Zhang Hao, Gang Grace J, Dang Hao, Sussman Marc S, Lin Cheng Ting, Siewerdsen Jeffrey H, Stayman J Webster",https://pubmed.ncbi.nlm.nih.gov/29622855/,"Prior-image-based reconstruction (PIBR) is a powerful tool for low-dose CT, however, the nonlinear behavior of such approaches are generally difficult to predict and control. Similarly, traditional image quality metrics do not capture potential biases exhibited in PIBR images. In this work, we identify a new bias metric and construct an analytical framework for prospectively predicting and controlling the relationship between prior image regularization strength and this bias in a reliable and quantitative fashion. Bias associated with prior image regularization in PIBR can be described as the fraction of actual contrast change (between the prior image and current anatomy) that appears in the reconstruction. Using local approximation of the nonlinear PIBR objective, we develop an analytical relationship between local regularization, fractional contrast reconstructed, and true contrast change. This analytic tool allows prediction bias properties in a reconstructed PIBR image and includes the dependencies on the data acquisition, patient anatomy and change, and reconstruction parameters. Predictions are leveraged to provide reliable and repeatable image properties for varying data fidelity in simulation and physical cadaver experiments. The proposed analytical approach permits accurate prediction of reconstructed contrast relative to a gold standard based on exhaustive search based on numerous iterative reconstructions. The framework is used to control regularization parameters to enforce consistent change reconstructions over varying fluence levels and varying numbers of projection angles - enabling bias properties that are less location- and acquisition-dependent. While PIBR methods have demonstrated a substantial ability for dose reduction, image properties associated with those images have been difficult to express and quantify using traditional metrics. The novel framework presented in this work not only quantifies this bias in an intuitive fashion, but it gives a way to predict and control the bias. Reliable and predictable reconstruction methods are a requirement for clinical imaging systems and the proposed framework is an important step translating PIBR methods to clinical application."
0000-0003-0275-8037,2018,Pulmonary venous anomalies causing misdiagnosis of pulmonary arteriovenous malformations,"Lin Cheng Ting, Zimmerman Stefan Loy, Mitchell Sally Elizabeth, Fishman Elliot K",https://pubmed.ncbi.nlm.nih.gov/28917138/,"To investigate pulmonary venous anomaly as a cause of pulmonary arteriovenous malformation (PAVM) misdiagnosis. We reviewed adult patients within a 7.5-year period with CT scans initially diagnosed with PAVM and subsequent conventional pulmonary angiograms. Pulmonary arteriography showed no PAVM on arterial phase for 10 out of 99 patients, comprising the misdiagnosed group. Four misdiagnosed patients had pulmonary venous anomalies and six had nodular lesions on CT. Pulmonary venous anomalies are vascular mimics of PAVMs that may lead to misdiagnosis. Optimal CT technique and careful imaging review are necessary to minimize inappropriate invasive angiography."
0000-0003-0275-8037,2017,Evaluation of Coronary Artery Disease and Coronary Anomalies with a Handheld Smartphone,"Lin Cheng Ting, Zimmerman Stefan Loy, Chu Linda C, Eng John, Fishman Elliot K",https://pubmed.ncbi.nlm.nih.gov/28560509/,"The purpose of this study was to determine the diagnostic accuracy of an iPhone for evaluation of the coronary arteries on coronary CT angiography (CTA) in comparison to a standard clinical workstation. Fifty coronary CTA exams were selected to include a range of normal and abnormal cases including both coronary artery disease (CAD) of varying severity and coronary artery anomalies. Two cardiac radiologists reviewed each exam on a standard clinical workstation initially and then on an iPhone 6 after a washout period. Coronary stenosis was evaluated on a 4-point scale and presence of coronary anomalies was recorded. Two additional cardiac radiologists reviewed all cases in consensus on the standard workstation and these results were used as the reference standard. When reader results were compared to the reference standard, there was no significant difference in agreement for per-vessel stenosis scores using either the iPhone or standard clinical workstation. The intraobserver intertechnology agreement on a per-vessel basis for obstructive CAD were 97.4% (299/307, kappa = 0.777) and 97.5% (317/325, kappa = 0.804) for the two readers. All cases of coronary anomalies were identified by both readers regardless of the device used. Coronary CTA examinations can be interpreted on a smartphone with diagnostic accuracy comparable to a standard workstation. 3D visualization app on the iPhone may facilitate urgent coronary CTA review when a workstation is not available."
0000-0003-0275-8037,2017,Added Value of Computer-aided CT Image Features for Early Lung Cancer Diagnosis with Small Pulmonary Nodules: A Matched Case-Control Study.,"Huang Peng, Park Seyoun, Yan Rongkai, Lee Junghoon, Chu Linda C, Lin Cheng T, Hussien Amira, Rathmell Joshua, Thomas Brett, Chen Chen, Hales Russell, Ettinger David S, Brock Malcolm, Hu Ping, Fishman Elliot K, Gabrielson Edward, Lam Stephen",https://pubmed.ncbi.nlm.nih.gov/28872442/,"Purpose To test whether computer-aided diagnosis (CAD) approaches can increase the positive predictive value (PPV) and reduce the false-positive rate in lung cancer screening for small nodules compared with human reading by thoracic radiologists. Materials and Methods A matched case-control sample of low-dose computed tomography (CT) studies in 186 participants with 4-20-mm noncalcified lung nodules who underwent biopsy in the National Lung Screening Trial (NLST) was selected. Variables used for matching were age, sex, smoking status, chronic obstructive pulmonary disease status, body mass index, study year of the positive screening test, and screening results. Studies before lung biopsy were randomly split into a training set (70 cancers plus 70 benign controls) and a validation set (20 cancers plus 26 benign controls). Image features from within and outside dominant nodules were extracted. A CAD algorithm developed from the training set and a random forest classifier were applied to the validation set to predict biopsy outcomes. Receiver operating characteristic analysis was used to compare the prediction accuracy of CAD with the NLST investigator's diagnosis and readings from three experienced and board-certified thoracic radiologists who used contemporary clinical practice guidelines. Results In the validation cohort, the area under the receiver operating characteristic curve for CAD was 0.9154. By default, the sensitivity, specificity, and PPV of the NLST investigators were 1.00, 0.00, and 0.43, respectively. The sensitivity, specificity, PPV, and negative predictive value of CAD and the three radiologists' combined reading were 0.95, 0.88, 0.86, and 0.96 and 0.70, 0.69, 0.64, and 0.75, respectively. Conclusion CAD could increase PPV and reduce the false-positive rate in the early diagnosis of lung cancer."
0000-0003-0275-8037,2017,Pulmonary CTA in sickle cell patients: quantitative assessment of enhancement quality.,"Jensen Jeff, Lin Tony, Fishman Elliot K, Johnson Pamela T",https://pubmed.ncbi.nlm.nih.gov/28801805/,"The purpose of this study was to validate the observation that pulmonary artery (PA) enhancement is often decreased in sickle cell disease (SCD) patients imaged with MDCT for suspected pulmonary embolism and determine whether contrast infusion parameters are accountable for lower enhancement levels. Retrospective comparison of 35 adult SCD patients imaged for suspected pulmonary embolism (PE) in our emergency department using 128-slice dual source MDCT scanner to 34 age and weight matched adult controls. Bolus tracking data was recorded, and enhancement levels of the main PA and descending aorta were measured. Electronic records were reviewed for demographics, imaging and lab correlation, and infusion parameters. Age, weight, contrast infusion rate, and contrast volume were similar for both SCD and control patients. SCD patients had significantly lower main PA enhancement (mean 233 HU, range 151-361 HU) than the control subjects (mean 290 HU, range 138-487 HU) (p < 0.001). Most (74%) SCD subjects had PA enhancement that was <250 HU, while most (68%) control patients had PA enhancement ≥250 HU. Change in PA enhancement per second during bolus tracking was lower in SCD patients (12 HU/s, range -24 to 91 HU/s) than control patients (mean 30 HU/s, range -37 to 138 HU/s), although the difference was not statistically significant (p = 0.08). Hemoglobin levels were significantly lower in the SCD cohort (p < 0.001). In this series of adult SCD patients with suspected PE imaged with MDCT, main PA enhancement level was lower than controls. Quality improvement investigations should focus on protocol optimization to improve enhancement quality and likelihood of a definitive diagnosis."
0000-0003-0275-8037,2016,HIV Infection Is Independently Associated with Increased CT Scan Lung Density.,"Drummond M Bradley, Lambert Allison A, Hussien Amira F, Lin Cheng T, Merlo Christian A, Wise Robert A, Kirk Gregory D, Brown Robert H",https://pubmed.ncbi.nlm.nih.gov/27876271/,"Noninfectious pulmonary complications are common among HIV-infected individuals and may be detected early by quantitative computed tomography (CT) scanning. The association of HIV disease markers with CT lung density measurement remains poorly understood. One hundred twenty-five participants free of spirometry-defined lung disease were recruited from a longitudinal cohort study of HIV-infected and HIV-uninfected individuals to undergo standardized CT scan of the chest. Parenchymal density for the entire lung volume was calculated using computerized software. Qualitative assessment of CT scans was conducted by two radiologists masked to HIV status. Linear regression models were developed to determine the independent association of markers of HIV infection on inspiratory scan mean lung density (MLD). HIV-infected participants had a significantly higher MLD (denser lung) compared to HIV-uninfected participants (-815 Hounsfield unit [HU] vs -837 HU; P = 0.002). After adjusting for relevant covariates, HIV infection was independently associated with 19.9 HU higher MLD (95% CI 6.04 to 33.7 HU; P = 0.005). In qualitative assessment, only ground glass attenuation and cysts were noted more commonly among HIV-infected individuals compared to HIV-uninfected individuals (34% vs 17% [P = 0.045] and 27% vs 10% [P = 0.03], respectively). No qualitative radiographic abnormalities attenuated the association between HIV infection and increased MLD. HIV infection is independently associated with increased lung density. Although qualitative CT abnormalities were common in this cohort, only ground glass attenuation and cysts were noted more frequently in HIV-infected participants, suggesting that the increased lung density observed among HIV-infected individuals may be associated with subclinical inflammatory lung changes."
0000-0003-0275-8037,2016,An algorithmic approach to CT of pulmonary arterial disorders,"Lin Cheng Ting, Raman Siva P, Fishman Elliot K",https://pubmed.ncbi.nlm.nih.gov/27618804/,"A broad spectrum of pulmonary arterial disorders can be diagnosed on computed tomography (CT). Comprehensive evaluation of the pulmonary arteries requires careful assessment of their configuration, patency, and size. This article presents an organized approach to pulmonary arterial disorders on CT, with particular attention to characteristic CT findings that aid in accurate diagnosis and proper management."
0000-0003-0275-8037,2016,Remote reading of coronary CTA exams using a tablet computer: utility for stenosis assessment and identification of coronary anomalies.,"Zimmerman Stefan L, Lin Cheng T, Chu Linda C, Eng John, Fishman Elliot K",https://pubmed.ncbi.nlm.nih.gov/27085532/,"The feasibility of remote reading of coronary CT examinations on tablet computers has not been evaluated. The purpose of this study is to evaluate the accuracy of coronary CT angiography reading using an iPad compared to standard 3D workstations. Fifty coronary CT angiography exams, including a spectrum of coronary artery disease and anatomic variants, were reviewed. Coronary CT angiography exams were interpreted by two readers independently on an iPad application (Siemens Webviewer) and a clinical 3D workstation at sessions 2 weeks apart. Studies were scored per vessel for severity of stenosis on a 0-3 scale (0 none, 1 0.05). Both readers identified 100 % of coronary anomalies using each technique. Reading of coronary CT angiography examinations on the iPad had no influence on stenosis assessment compared to the standard clinical workstation."
0000-0003-0275-8037,2016,CT measurement of central pulmonary arteries to diagnose pulmonary hypertension (PHTN): more reliable than valid?,"Terpenning Silanath, Deng Matthew, Hong-Zohlman Susie N, Lin Cheng Ting, Kligerman Seth J, Jeudy Jean, Ketai Loren H",https://pubmed.ncbi.nlm.nih.gov/27131412/,"The association between main pulmonary artery (MPA) size and pulmonary arterial hypertension (PAHTN) is well established; however, the clinical utility of routine measurement of MPA is uncertain due to considerable overlap between normal patients and those with pulmonary hypertension. The lack of diagnostic accuracy could be further degraded by variability among the radiologists. It is unknown whether the addition of right and left pulmonary artery measurements would improve accuracy or further impair it. The purposes of this study are to verify the accuracy of a proposed cutoff value for the size of MPA in the diagnosis PAHTN, to determine the interrater agreement for this measurement, and to determine whether addition of right pulmonary artery (RPA) and left pulmonary artery (LPA) measurement or simple assessment of patient comorbidities can improve the accuracy. Patients undergoing both cardiac catheterization and chest computed tomography (CT) within 3 months of each other at a large university hospital between January 2010 and December 2012 were identified. Patients with prior cardiac surgery or congenital heart disease and critically ill patients were excluded from the study population. Patients with pericardial disease or severe lung disease documented on CT examinations were also excluded. From the remaining patients, 45 patients with normal pulmonary artery pressure and 50 patients with proven pulmonary hypertension were selected. Demographic data and clinical information was collected from medical records of these patients. Three radiologists with different years of experience in cardiothoracic imaging measured the MPA, RPA, and LPA diameters on axial images using an electronic ruler on 3D work stations independently and were masked to the patient clinical symptoms, diagnosis, and each other's measurement to prevent bias. Association between MPA diameter (MPAD) and patient characteristics assessed by one-way analysis of variance for scalar measures. Each reader's measurements were used to construct a separate receiver operating curve (ROC) to assess optimal MPA threshold. The ability of an MPA measurement threshold to correctly identify PAHTN was assessed using chi-squared. Chi-squared was also used to assess the effect of categorical comorbidities on false positive diagnosis. None of the demographic data or patients' factors (age, gender, height, weight, body surface area, and body mass index) were related to the size of MPAD. The distribution of the MPAD was normal in both groups. Based on prior literature, MPAD (≥3.15cm) was selected as the cutoff value to diagnose PAHTN. Review of ROCs did not suggest a superior cutoff value for any reader. Using this threshold per case interrater agreement was good, kappa values >0.65. Based on an average measurement for all three readers, MPAD was 82% sensitive and 62% specific for PAHTN. Limiting positive diagnosis to those subjects with both MPAD ≥3.15 and either enlarged RPA diameter (RPAD) or LPAD diminished sensitivity but did not improve specificity. Defining positive study as the presence of any dilated artery (MPAD, RPAD, or LPAD) increased sensitivity to 94% but decreased specificity to 27%. Comorbidities that might cause fluctuating mean pulmonary artery pressures could not be shown to account for false positive studies. The 29 true negative patients and 16 false positive patients did not differ in the prevalence of obstructive sleep apnea/home oxygen use or documented congestive heart failure/low ejection fraction. Previously proposed threshold of MPAD ≥3.15cm is likely optimal but is not specific for identifying patient with PAHTN. Interobserver differences in MPAD measurement do not account this inaccuracy. Incorporation or RPA and LPA measurement does not improve diagnostic accuracy of PAHTN, and assessment of comorbidities does not easily identify likely false positive cases. Diagnosis of PAHTN based solely on CT examinations of the chest may not be sufficiently accurate for clinical use."
0000-0003-0275-8037,2015,There's an App for That: Creating a Coronary CT Angiography Learning Module for the iPad.,"Lin Cheng Ting, RaminPour Sara, Corl Frank, Fishman Elliot K",https://pubmed.ncbi.nlm.nih.gov/26617347/,Abstract unavailable.
0000-0003-0275-8037,2015,"Mosaic Attenuation: Etiology, Methods of Differentiation, and Pitfalls.","Kligerman Seth J, Henry Travis, Lin Cheng T, Franks Teri J, Galvin Jeffrey R",https://pubmed.ncbi.nlm.nih.gov/26274445/,"Mosaic attenuation is a commonly encountered pattern on computed tomography that is defined as heterogeneous areas of differing lung attenuation. This heterogeneous pattern of attenuation is the result of diverse causes that include diseases of the small airways, pulmonary vasculature, alveoli, and interstitium, alone or in combination. Small airways disease can be a primary disorder, such as respiratory bronchiolitis or constrictive bronchiolitis, or be part of parenchymal lung disease, such as hypersensitivity pneumonitis, or large airways disease, such as bronchiectasis and asthma. Vascular causes resulting in mosaic attenuation are typically chronic thromboembolic pulmonary hypertension, which is characterized by organizing thrombi in the elastic pulmonary arteries, or pulmonary arterial hypertension, a heterogeneous group of diseases affecting the distal pulmonary arterioles. Diffuse ground-glass opacity can result in a mosaic pattern related to a number of processes in acute (eg, infection, pulmonary edema), subacute (eg, organizing pneumonia), or chronic (eg, fibrotic diseases) settings. Imaging clues that can assist the radiologist in pinpointing a diagnosis include evidence of large airway involvement, cardiovascular abnormalities, septal thickening, signs of fibrosis, and demonstration of airtrapping at expiratory imaging."
